"protein","reporter","unique","value","batch"
"A0A075B6H9","0",1,197720,"RA0102_peptides.txt"
"A0A075B6H9","3",1,126090,"RA0102_peptides.txt"
"A0A075B6H9","5",1,522490,"RA0102_peptides.txt"
"A0A075B6I0","0",1,0,"RA0102_peptides.txt"
"A0A075B6I0","3",1,0,"RA0102_peptides.txt"
"A0A075B6I0","5",1,0,"RA0102_peptides.txt"
"A0A075B6I1","0",2,228135,"RA0102_peptides.txt"
"A0A075B6I1","3",2,118730,"RA0102_peptides.txt"
"A0A075B6I1","5",2,258790,"RA0102_peptides.txt"
"A0A075B6I4","0",1,0,"RA0102_peptides.txt"
"A0A075B6I4","3",1,0,"RA0102_peptides.txt"
"A0A075B6I4","5",1,0,"RA0102_peptides.txt"
"A0A075B6I9","0",1,72117,"RA0102_peptides.txt"
"A0A075B6I9","3",1,40520,"RA0102_peptides.txt"
"A0A075B6I9","5",1,43382,"RA0102_peptides.txt"
"A0A075B6K4","0",1,31291,"RA0102_peptides.txt"
"A0A075B6K4","3",1,7307.1,"RA0102_peptides.txt"
"A0A075B6K4","5",1,10547,"RA0102_peptides.txt"
"A0A087WSY6","0",1,94700,"RA0102_peptides.txt"
"A0A087WSY6","3",1,13894,"RA0102_peptides.txt"
"A0A087WSY6","5",1,46001,"RA0102_peptides.txt"
"A0A0A0MS15","0",3,222577,"RA0102_peptides.txt"
"A0A0A0MS15","3",3,43373.7,"RA0102_peptides.txt"
"A0A0A0MS15","5",3,132835,"RA0102_peptides.txt"
"A0A0A0MT36","0",1,0,"RA0102_peptides.txt"
"A0A0A0MT36","3",1,0,"RA0102_peptides.txt"
"A0A0A0MT36","5",1,0,"RA0102_peptides.txt"
"A0A0A6YYK6","0",1,0,"RA0102_peptides.txt"
"A0A0A6YYK6","3",1,0,"RA0102_peptides.txt"
"A0A0A6YYK6","5",1,0,"RA0102_peptides.txt"
"A0A0B4J1U7","0",3,98289,"RA0102_peptides.txt"
"A0A0B4J1U7","3",3,27121.1,"RA0102_peptides.txt"
"A0A0B4J1U7","5",3,49416,"RA0102_peptides.txt"
"A0A0B4J1V0","0",2,137070,"RA0102_peptides.txt"
"A0A0B4J1V0","3",2,30883,"RA0102_peptides.txt"
"A0A0B4J1V0","5",2,43928,"RA0102_peptides.txt"
"A0A0B4J1X5","0",1,547210,"RA0102_peptides.txt"
"A0A0B4J1X5","3",1,142920,"RA0102_peptides.txt"
"A0A0B4J1X5","5",1,261960,"RA0102_peptides.txt"
"A0A0B4J1Y8","0",3,113864,"RA0102_peptides.txt"
"A0A0B4J1Y8","3",3,49351,"RA0102_peptides.txt"
"A0A0B4J1Y8","5",3,132418,"RA0102_peptides.txt"
"A0A0B4J1Y9","0",1,271910,"RA0102_peptides.txt"
"A0A0B4J1Y9","3",1,30777,"RA0102_peptides.txt"
"A0A0B4J1Y9","5",1,88385,"RA0102_peptides.txt"
"A0A0B4J2F0","0",1,94315,"RA0102_peptides.txt"
"A0A0B4J2F0","3",1,32040,"RA0102_peptides.txt"
"A0A0B4J2F0","5",1,40782,"RA0102_peptides.txt"
"A0A0C4DH24","0",1,60595,"RA0102_peptides.txt"
"A0A0C4DH24","3",1,12231,"RA0102_peptides.txt"
"A0A0C4DH24","5",1,21804,"RA0102_peptides.txt"
"A0A0C4DH25","0",1,15238,"RA0102_peptides.txt"
"A0A0C4DH25","3",1,5664.3,"RA0102_peptides.txt"
"A0A0C4DH25","5",1,16797,"RA0102_peptides.txt"
"A0A0C4DH29","0",1,0,"RA0102_peptides.txt"
"A0A0C4DH29","3",1,0,"RA0102_peptides.txt"
"A0A0C4DH29","5",1,0,"RA0102_peptides.txt"
"A0A0C4DH31","0",1,0,"RA0102_peptides.txt"
"A0A0C4DH31","3",1,0,"RA0102_peptides.txt"
"A0A0C4DH31","5",1,0,"RA0102_peptides.txt"
"A0A0C4DH34","0",1,539650,"RA0102_peptides.txt"
"A0A0C4DH34","3",1,103680,"RA0102_peptides.txt"
"A0A0C4DH34","5",1,337400,"RA0102_peptides.txt"
"A0A0C4DH38","0",2,50721,"RA0102_peptides.txt"
"A0A0C4DH38","3",2,8824,"RA0102_peptides.txt"
"A0A0C4DH38","5",2,45867,"RA0102_peptides.txt"
"A0A0C4DH68","0",1,105430,"RA0102_peptides.txt"
"A0A0C4DH68","3",1,43804,"RA0102_peptides.txt"
"A0A0C4DH68","5",1,44199,"RA0102_peptides.txt"
"A0A0J9YX35","0",2,58191,"RA0102_peptides.txt"
"A0A0J9YX35","3",2,9312,"RA0102_peptides.txt"
"A0A0J9YX35","5",2,10523,"RA0102_peptides.txt"
"A0A1B0GX56","0",1,0,"RA0102_peptides.txt"
"A0A1B0GX56","3",1,0,"RA0102_peptides.txt"
"A0A1B0GX56","5",1,0,"RA0102_peptides.txt"
"A0AV96","0",1,32286,"RA0102_peptides.txt"
"A0AV96","3",1,5883.1,"RA0102_peptides.txt"
"A0AV96","5",1,32556,"RA0102_peptides.txt"
"A0AVT1","0",14,393078.9,"RA0102_peptides.txt"
"A0AVT1","3",14,284718.5,"RA0102_peptides.txt"
"A0AVT1","5",14,499173,"RA0102_peptides.txt"
"A0FGR8","0",6,758535,"RA0102_peptides.txt"
"A0FGR8","3",6,306326,"RA0102_peptides.txt"
"A0FGR8","5",6,384042,"RA0102_peptides.txt"
"A0M8Q6","0",2,32205,"RA0102_peptides.txt"
"A0M8Q6","3",2,9273.1,"RA0102_peptides.txt"
"A0M8Q6","5",2,16366,"RA0102_peptides.txt"
"A0MZ66","0",4,241799,"RA0102_peptides.txt"
"A0MZ66","3",4,77810.9,"RA0102_peptides.txt"
"A0MZ66","5",4,137429,"RA0102_peptides.txt"
"A0PJW6","0",1,36561,"RA0102_peptides.txt"
"A0PJW6","3",1,2199.4,"RA0102_peptides.txt"
"A0PJW6","5",1,5467.6,"RA0102_peptides.txt"
"A1L0T0","0",2,136220,"RA0102_peptides.txt"
"A1L0T0","3",2,167304,"RA0102_peptides.txt"
"A1L0T0","5",2,123018,"RA0102_peptides.txt"
"A1L4H1","0",2,73247,"RA0102_peptides.txt"
"A1L4H1","3",2,26200,"RA0102_peptides.txt"
"A1L4H1","5",2,10407,"RA0102_peptides.txt"
"A1X283","0",2,35120,"RA0102_peptides.txt"
"A1X283","3",2,15266,"RA0102_peptides.txt"
"A1X283","5",2,12462,"RA0102_peptides.txt"
"A2RRP1","0",14,557560,"RA0102_peptides.txt"
"A2RRP1","3",14,242258.4,"RA0102_peptides.txt"
"A2RRP1","5",14,341610.2,"RA0102_peptides.txt"
"A2RTX5","0",1,0,"RA0102_peptides.txt"
"A2RTX5","3",1,0,"RA0102_peptides.txt"
"A2RTX5","5",1,0,"RA0102_peptides.txt"
"A2RU30","0",1,0,"RA0102_peptides.txt"
"A2RU30","3",1,0,"RA0102_peptides.txt"
"A2RU30","5",1,0,"RA0102_peptides.txt"
"A3KMH1","0",6,155283,"RA0102_peptides.txt"
"A3KMH1","3",6,64208,"RA0102_peptides.txt"
"A3KMH1","5",6,87133,"RA0102_peptides.txt"
"A4D1P6","0",4,127221,"RA0102_peptides.txt"
"A4D1P6","3",4,34739.5,"RA0102_peptides.txt"
"A4D1P6","5",4,60125,"RA0102_peptides.txt"
"A5YKK6","0",14,458388,"RA0102_peptides.txt"
"A5YKK6","3",14,249695.2,"RA0102_peptides.txt"
"A5YKK6","5",14,347050,"RA0102_peptides.txt"
"A6NC98","0",2,0,"RA0102_peptides.txt"
"A6NC98","3",2,0,"RA0102_peptides.txt"
"A6NC98","5",2,0,"RA0102_peptides.txt"
"A6NDG6","0",1,0,"RA0102_peptides.txt"
"A6NDG6","3",1,0,"RA0102_peptides.txt"
"A6NDG6","5",1,0,"RA0102_peptides.txt"
"A6NEE1","0",1,0,"RA0102_peptides.txt"
"A6NEE1","3",1,0,"RA0102_peptides.txt"
"A6NEE1","5",1,0,"RA0102_peptides.txt"
"A6NFT4","0",1,0,"RA0102_peptides.txt"
"A6NFT4","3",1,0,"RA0102_peptides.txt"
"A6NFT4","5",1,0,"RA0102_peptides.txt"
"A6NHL2","0",1,33926,"RA0102_peptides.txt"
"A6NHL2","3",1,19354,"RA0102_peptides.txt"
"A6NHL2","5",1,24659,"RA0102_peptides.txt"
"A6NHQ2","0",1,21111,"RA0102_peptides.txt"
"A6NHQ2","3",1,25828,"RA0102_peptides.txt"
"A6NHQ2","5",1,30539,"RA0102_peptides.txt"
"A6NHR9","0",11,254078,"RA0102_peptides.txt"
"A6NHR9","3",11,122172.6,"RA0102_peptides.txt"
"A6NHR9","5",11,168177,"RA0102_peptides.txt"
"A6NHX0","0",1,0,"RA0102_peptides.txt"
"A6NHX0","3",1,0,"RA0102_peptides.txt"
"A6NHX0","5",1,0,"RA0102_peptides.txt"
"A6NIH7","0",1,0,"RA0102_peptides.txt"
"A6NIH7","3",1,0,"RA0102_peptides.txt"
"A6NIH7","5",1,0,"RA0102_peptides.txt"
"A6NM62","0",1,0,"RA0102_peptides.txt"
"A6NM62","3",1,0,"RA0102_peptides.txt"
"A6NM62","5",1,0,"RA0102_peptides.txt"
"A6NMZ7","0",17,762469,"RA0102_peptides.txt"
"A6NMZ7","3",17,1144405,"RA0102_peptides.txt"
"A6NMZ7","5",17,253043.5,"RA0102_peptides.txt"
"A7E2V4","0",1,16897,"RA0102_peptides.txt"
"A7E2V4","3",1,7605.9,"RA0102_peptides.txt"
"A7E2V4","5",1,11605,"RA0102_peptides.txt"
"A7MBM2","0",1,0,"RA0102_peptides.txt"
"A7MBM2","3",1,0,"RA0102_peptides.txt"
"A7MBM2","5",1,0,"RA0102_peptides.txt"
"A8K8P3","0",1,0,"RA0102_peptides.txt"
"A8K8P3","3",1,0,"RA0102_peptides.txt"
"A8K8P3","5",1,0,"RA0102_peptides.txt"
"A8MU46","0",4,167909,"RA0102_peptides.txt"
"A8MU46","3",4,7290.3,"RA0102_peptides.txt"
"A8MU46","5",4,8143.5,"RA0102_peptides.txt"
"A8MWY0","0",1,56942,"RA0102_peptides.txt"
"A8MWY0","3",1,20328,"RA0102_peptides.txt"
"A8MWY0","5",1,17593,"RA0102_peptides.txt"
"A9UHW6","0",1,0,"RA0102_peptides.txt"
"A9UHW6","3",1,0,"RA0102_peptides.txt"
"A9UHW6","5",1,0,"RA0102_peptides.txt"
"B0I1T2","0",6,96484,"RA0102_peptides.txt"
"B0I1T2","3",6,48001,"RA0102_peptides.txt"
"B0I1T2","5",6,77907,"RA0102_peptides.txt"
"B3KS81","0",2,0,"RA0102_peptides.txt"
"B3KS81","3",2,0,"RA0102_peptides.txt"
"B3KS81","5",2,0,"RA0102_peptides.txt"
"B7Z6K7","0",1,486200,"RA0102_peptides.txt"
"B7Z6K7","3",1,84552,"RA0102_peptides.txt"
"B7Z6K7","5",1,105330,"RA0102_peptides.txt"
"C9J798","0",1,38707,"RA0102_peptides.txt"
"C9J798","3",1,27954,"RA0102_peptides.txt"
"C9J798","5",1,22618,"RA0102_peptides.txt"
"E7ETH6","0",1,25067,"RA0102_peptides.txt"
"E7ETH6","3",1,13090,"RA0102_peptides.txt"
"E7ETH6","5",1,1449.2,"RA0102_peptides.txt"
"L0R6Q1","0",5,254700,"RA0102_peptides.txt"
"L0R6Q1","3",5,145031,"RA0102_peptides.txt"
"L0R6Q1","5",5,178843,"RA0102_peptides.txt"
"M0R2J8","0",1,137510,"RA0102_peptides.txt"
"M0R2J8","3",1,111360,"RA0102_peptides.txt"
"M0R2J8","5",1,378150,"RA0102_peptides.txt"
"O00115","0",3,0,"RA0102_peptides.txt"
"O00115","3",3,0,"RA0102_peptides.txt"
"O00115","5",3,0,"RA0102_peptides.txt"
"O00116","0",5,482642,"RA0102_peptides.txt"
"O00116","3",5,211691,"RA0102_peptides.txt"
"O00116","5",5,439593,"RA0102_peptides.txt"
"O00139","0",3,35994,"RA0102_peptides.txt"
"O00139","3",3,14781,"RA0102_peptides.txt"
"O00139","5",3,17845,"RA0102_peptides.txt"
"O00142","0",3,83527,"RA0102_peptides.txt"
"O00142","3",3,61755,"RA0102_peptides.txt"
"O00142","5",3,166190,"RA0102_peptides.txt"
"O00151","0",8,293381,"RA0102_peptides.txt"
"O00151","3",8,328023,"RA0102_peptides.txt"
"O00151","5",8,185226.8,"RA0102_peptides.txt"
"O00154","0",1,0,"RA0102_peptides.txt"
"O00154","3",1,0,"RA0102_peptides.txt"
"O00154","5",1,0,"RA0102_peptides.txt"
"O00159","0",32,2939868.1,"RA0102_peptides.txt"
"O00159","3",32,2371946.8,"RA0102_peptides.txt"
"O00159","5",32,1296294.7,"RA0102_peptides.txt"
"O00160","0",9,201360,"RA0102_peptides.txt"
"O00160","3",9,58686.4,"RA0102_peptides.txt"
"O00160","5",9,166601,"RA0102_peptides.txt"
"O00161","0",6,143030,"RA0102_peptides.txt"
"O00161","3",6,107070,"RA0102_peptides.txt"
"O00161","5",6,93180,"RA0102_peptides.txt"
"O00170","0",5,101191,"RA0102_peptides.txt"
"O00170","3",5,62996.2,"RA0102_peptides.txt"
"O00170","5",5,107677,"RA0102_peptides.txt"
"O00182","0",3,49799,"RA0102_peptides.txt"
"O00182","3",3,50108,"RA0102_peptides.txt"
"O00182","5",3,60998,"RA0102_peptides.txt"
"O00186","0",9,597828,"RA0102_peptides.txt"
"O00186","3",9,312502.5,"RA0102_peptides.txt"
"O00186","5",9,388132,"RA0102_peptides.txt"
"O00192","0",2,0,"RA0102_peptides.txt"
"O00192","3",2,0,"RA0102_peptides.txt"
"O00192","5",2,0,"RA0102_peptides.txt"
"O00194","0",2,76357,"RA0102_peptides.txt"
"O00194","3",2,42996,"RA0102_peptides.txt"
"O00194","5",2,43976,"RA0102_peptides.txt"
"O00203","0",18,1784631,"RA0102_peptides.txt"
"O00203","3",18,558874.6,"RA0102_peptides.txt"
"O00203","5",18,986117,"RA0102_peptides.txt"
"O00214","0",1,0,"RA0102_peptides.txt"
"O00214","3",1,0,"RA0102_peptides.txt"
"O00214","5",1,0,"RA0102_peptides.txt"
"O00217","0",4,104520,"RA0102_peptides.txt"
"O00217","3",4,49401,"RA0102_peptides.txt"
"O00217","5",4,72550,"RA0102_peptides.txt"
"O00231","0",12,734537,"RA0102_peptides.txt"
"O00231","3",12,493575,"RA0102_peptides.txt"
"O00231","5",12,730351,"RA0102_peptides.txt"
"O00232","0",15,552857,"RA0102_peptides.txt"
"O00232","3",15,212033.7,"RA0102_peptides.txt"
"O00232","5",15,347069,"RA0102_peptides.txt"
"O00233","0",3,115083,"RA0102_peptides.txt"
"O00233","3",3,69933,"RA0102_peptides.txt"
"O00233","5",3,26421,"RA0102_peptides.txt"
"O00244","0",3,173056.1,"RA0102_peptides.txt"
"O00244","3",3,47311.9,"RA0102_peptides.txt"
"O00244","5",3,75195.9,"RA0102_peptides.txt"
"O00255","0",1,98019,"RA0102_peptides.txt"
"O00255","3",1,35181,"RA0102_peptides.txt"
"O00255","5",1,32499,"RA0102_peptides.txt"
"O00258","0",2,26010.6,"RA0102_peptides.txt"
"O00258","3",2,31691,"RA0102_peptides.txt"
"O00258","5",2,38790,"RA0102_peptides.txt"
"O00264","0",6,203469.4,"RA0102_peptides.txt"
"O00264","3",6,225849,"RA0102_peptides.txt"
"O00264","5",6,247141.3,"RA0102_peptides.txt"
"O00267","0",5,266900,"RA0102_peptides.txt"
"O00267","3",5,127581,"RA0102_peptides.txt"
"O00267","5",5,156361,"RA0102_peptides.txt"
"O00291","0",13,581779.3,"RA0102_peptides.txt"
"O00291","3",13,464276.4,"RA0102_peptides.txt"
"O00291","5",13,425544,"RA0102_peptides.txt"
"O00299","0",11,1723336,"RA0102_peptides.txt"
"O00299","3",11,597142.2,"RA0102_peptides.txt"
"O00299","5",11,1432093,"RA0102_peptides.txt"
"O00303","0",5,666525,"RA0102_peptides.txt"
"O00303","3",5,299563,"RA0102_peptides.txt"
"O00303","5",5,554396,"RA0102_peptides.txt"
"O00311","0",1,0,"RA0102_peptides.txt"
"O00311","3",1,0,"RA0102_peptides.txt"
"O00311","5",1,0,"RA0102_peptides.txt"
"O00329","0",2,33079,"RA0102_peptides.txt"
"O00329","3",2,8730.6,"RA0102_peptides.txt"
"O00329","5",2,23910,"RA0102_peptides.txt"
"O00330","0",6,124121.6,"RA0102_peptides.txt"
"O00330","3",6,79286.5,"RA0102_peptides.txt"
"O00330","5",6,59749,"RA0102_peptides.txt"
"O00399","0",4,247067,"RA0102_peptides.txt"
"O00399","3",4,127746,"RA0102_peptides.txt"
"O00399","5",4,162049,"RA0102_peptides.txt"
"O00400","0",6,360010.8,"RA0102_peptides.txt"
"O00400","3",6,159689,"RA0102_peptides.txt"
"O00400","5",6,637497,"RA0102_peptides.txt"
"O00408","0",3,13265,"RA0102_peptides.txt"
"O00408","3",3,20053,"RA0102_peptides.txt"
"O00408","5",3,9906.9,"RA0102_peptides.txt"
"O00410","0",10,413945.5,"RA0102_peptides.txt"
"O00410","3",10,169203,"RA0102_peptides.txt"
"O00410","5",10,301448,"RA0102_peptides.txt"
"O00418","0",3,53817,"RA0102_peptides.txt"
"O00418","3",3,29632,"RA0102_peptides.txt"
"O00418","5",3,26067,"RA0102_peptides.txt"
"O00422","0",6,402913,"RA0102_peptides.txt"
"O00422","3",6,302797,"RA0102_peptides.txt"
"O00422","5",6,464883,"RA0102_peptides.txt"
"O00423","0",12,1171417,"RA0102_peptides.txt"
"O00423","3",12,405696,"RA0102_peptides.txt"
"O00423","5",12,202775.1,"RA0102_peptides.txt"
"O00429","0",13,494727,"RA0102_peptides.txt"
"O00429","3",13,224050.5,"RA0102_peptides.txt"
"O00429","5",13,262579,"RA0102_peptides.txt"
"O00442","0",2,0,"RA0102_peptides.txt"
"O00442","3",2,0,"RA0102_peptides.txt"
"O00442","5",2,0,"RA0102_peptides.txt"
"O00443","0",2,114208,"RA0102_peptides.txt"
"O00443","3",2,49894,"RA0102_peptides.txt"
"O00443","5",2,73405,"RA0102_peptides.txt"
"O00461","0",2,55501,"RA0102_peptides.txt"
"O00461","3",2,65144,"RA0102_peptides.txt"
"O00461","5",2,58939,"RA0102_peptides.txt"
"O00462","0",4,65000.4,"RA0102_peptides.txt"
"O00462","3",4,31005.7,"RA0102_peptides.txt"
"O00462","5",4,55536,"RA0102_peptides.txt"
"O00468","0",18,461336,"RA0102_peptides.txt"
"O00468","3",18,535200,"RA0102_peptides.txt"
"O00468","5",18,254633.8,"RA0102_peptides.txt"
"O00469","0",10,164152,"RA0102_peptides.txt"
"O00469","3",10,76137.3,"RA0102_peptides.txt"
"O00469","5",10,334413,"RA0102_peptides.txt"
"O00471","0",10,456744,"RA0102_peptides.txt"
"O00471","3",10,176199,"RA0102_peptides.txt"
"O00471","5",10,208376,"RA0102_peptides.txt"
"O00478","0",2,35816,"RA0102_peptides.txt"
"O00478","3",2,43613,"RA0102_peptides.txt"
"O00478","5",2,39521,"RA0102_peptides.txt"
"O00483","0",6,204260.4,"RA0102_peptides.txt"
"O00483","3",6,61420.2,"RA0102_peptides.txt"
"O00483","5",6,145468,"RA0102_peptides.txt"
"O00487","0",6,603985,"RA0102_peptides.txt"
"O00487","3",6,188616,"RA0102_peptides.txt"
