Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	24	75.0	1.8693544056983184E-16	P04114, P35749, P08603, P32119, P46781, P30086, P18077, Q14914, Q9Y2J8, P30101, P38646, P61160, P19827, P01008, P61247, P02787, P26038, P67936, P62820, P07237, P21796, P02751, Q99879, P48735	32	2242	20666	6.913247100802854	3.042011087472929E-14	2.5610155358066964E-14	2.3553865511798812E-14
UP_KW_PTM	KW-0007~Acetylation	21	65.625	5.700788938598227E-7	P04114, Q15643, P32119, P13804, P46781, P18077, Q14914, P30101, Q96I99, P38646, P61160, P61247, P02545, P26038, P67936, P46776, P62820, P07237, P21796, Q99879, P48735	30	3505	14268	2.849529243937232	9.12122330321008E-6	9.691341195616986E-6	8.551183407897339E-6
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	8	25.0	2.787929356156715E-6	P61160, P46781, P61247, P26038, P67936, P30101, P07237, P38646	32	431	20666	11.98723897911833	3.818739217994471E-4	1.9097316089673497E-4	1.7563954943787302E-4
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	6	18.75	4.789282671617044E-6	P08603, P19827, P01008, P02787, P26038, P02751	32	168	20666	23.064732142857142	6.559180888430216E-4	2.1871057533717834E-4	2.0114987220791586E-4
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	5	15.625	1.2495398485975818E-5	P46781, P18077, P61247, P46776, P18621	32	96	20666	33.636067708333336	0.0017104158566234595	4.2796739814467176E-4	3.9360505230823825E-4
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	5	15.625	1.3466128987042977E-5	P46781, P18077, P61247, P46776, P18621	32	92	19416	32.97554347826087	0.0036292775015346335	0.0036358548265016037	0.0036358548265016037
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine	5	15.625	2.867552667567343E-5	P08603, P19827, P01008, P02787, P02751	30	126	20502	27.119047619047617	0.00845215557412693	0.008487955895999336	0.008487955895999336
GOTERM_CC_DIRECT	GO:0005829~cytosol	20	62.5	6.311175277050779E-5	P04114, P35749, P32119, P46781, P30086, P18077, Q9Y2J8, P18621, P61160, P61247, P02545, P56470, P26038, P67936, P46776, P62820, P07237, Q9H8H3, Q99879, P48735	32	5576	20666	2.3164006456241033	0.00860930879311772	0.0017292620259119135	0.0015904161698167964
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	6	18.75	9.350159382693469E-5	P04114, P01008, P02787, P30101, P07237, P02751	32	312	20666	12.419471153846153	0.012728614394042714	0.002134953059048342	0.0019635334703656283
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	5	15.625	2.274187955542806E-4	P46781, P18077, P61247, P46776, P18621	32	188	19208	15.96409574468085	0.025373780869389906	0.02569832389763371	0.024788648715416587
GOTERM_BP_DIRECT	GO:0006412~translation	5	15.625	3.9015255444070065E-4	P46781, P18077, P61247, P46776, P18621	32	219	19416	13.852739726027398	0.10000110605867818	0.05267059484949459	0.05267059484949459
GOTERM_CC_DIRECT	GO:0042470~melanosome	4	12.5	5.02295457535849E-4	P35749, P30101, P62820, P07237	32	104	20666	24.838942307692307	0.06651628949945776	0.009830639668915902	0.009041318235645282
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	5	15.625	5.933352261722032E-4	P46781, P18077, P61247, P46776, P18621	25	196	11859	12.101020408163265	0.014728245511134719	0.01483338065430508	0.013646710201960673
KEGG_PATHWAY	hsa03010:Ribosome	5	15.625	9.081437080856988E-4	P46781, P18077, P61247, P46776, P18621	24	172	8865	10.73764534883721	0.07095031740967972	0.0735596403549416	0.0735596403549416
INTERPRO	IPR013766:Thioredoxin_domain	3	9.375	0.001639154823366004	P32119, P30101, P07237	32	40	20667	48.438281249999996	0.22833051879166488	0.25898646209182863	0.25898646209182863
GOTERM_CC_DIRECT	GO:0005840~ribosome	4	12.5	0.0018410554640375374	P46781, P18077, P61247, P46776	32	163	20666	15.848159509202452	0.2231104310940859	0.031528074821642826	0.028996623558591214
UP_SEQ_FEATURE	DOMAIN:Thioredoxin	3	9.375	0.0018417933714891144	P32119, P30101, P07237	30	45	20502	45.56	0.4205486093606453	0.27258541898038896	0.27258541898038896
GOTERM_MF_DIRECT	GO:0003723~RNA binding	9	28.125	0.0018755008484325967	P46781, P18077, P61247, P30086, P30101, P46776, P07237, P18621, P38646	32	1473	19208	3.667515274949084	0.19114093310505142	0.08341270785443448	0.08046004562949875
UP_KW_DOMAIN	KW-0676~Redox-active center	3	9.375	0.0021350204256951034	P32119, P30101, P07237	20	53	14566	41.22452830188679	0.019051899474464618	0.01921518383125593	0.01921518383125593
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	5	15.625	0.0029368874237891652	P30086, P02787, P26038, P07237, P38646	32	374	19208	8.024732620320854	0.28276846243495657	0.08341270785443448	0.08046004562949875
