Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	7	63.63636363636363	2.308553807194772E-4	P00450, P31327, Q5VTE0, P14625, Q15582, P37802, P10809	11	2242	20666	5.865785418863028	0.011021154654803023	0.011081058274534906	0.00992678137093752
GOTERM_CC_DIRECT	GO:0005951~carbamoyl-phosphate synthase complex	2	18.181818181818183	9.675624122225379E-4	P31327	11	2	20666	1878.7272727272727	0.04540248589767393	0.016790809477839015	0.015041766823897452
UP_SEQ_FEATURE	REGION:Anthranilate phosphoribosyltransferase homolog	2	18.181818181818183	9.753004570173395E-4	P31327	11	2	20502	1863.8181818181818	0.055023320503568285	0.020580655943298373	0.020580655943298373
GOTERM_BP_DIRECT	GO:0070409~carbamoyl phosphate biosynthetic process	2	18.181818181818183	0.001029839534839498	P31327	11	2	19416	1765.0909090909092	0.09324697748340494	0.04189032544059324	0.03130750638191705
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	4	36.36363636363637	0.0010494255923649384	P31327, P10809, P45954	11	443	20666	16.96367740611533	0.04914992432529375	0.016790809477839015	0.015041766823897452
UP_KW_DOMAIN	KW-0809~Transit peptide	4	36.36363636363637	0.0011594829734651736	P31327, P10809, P45954	7	582	14566	14.301423662248403	0.003474417276907893	0.0034784489203955205	0.002318965946930347
SMART	SM01097:CPSase_sm_chain	2	18.181818181818183	0.0014039683542033555	P31327	6	3	10680	1186.6666666666665	0.009786481532623403	0.004367083510832193	0.004367083510832193
SMART	SM01096:CPSase_L_D3	2	18.181818181818183	0.0014039683542033555	P31327	6	3	10680	1186.6666666666665	0.009786481532623403	0.004367083510832193	0.004367083510832193
INTERPRO	IPR036897:CarbamoylP_synth_lsu_oligo_sf	2	18.181818181818183	0.001450957407941594	P31327	11	3	20667	1252.5454545454547	0.10837431864484248	0.014328204403423242	0.014328204403423242
INTERPRO	IPR005480:CarbamoylP_synth_lsu_oligo	2	18.181818181818183	0.001450957407941594	P31327	11	3	20667	1252.5454545454547	0.10837431864484248	0.014328204403423242	0.014328204403423242
INTERPRO	IPR036480:CarbP_synth_ssu_N_sf	2	18.181818181818183	0.001450957407941594	P31327	11	3	20667	1252.5454545454547	0.10837431864484248	0.014328204403423242	0.014328204403423242
INTERPRO	IPR005483:CbamoylP_synth_lsu_CPSase_dom	2	18.181818181818183	0.001450957407941594	P31327	11	3	20667	1252.5454545454547	0.10837431864484248	0.014328204403423242	0.014328204403423242
