Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	22	81.48148148148148	1.8944702776408173E-16	P60903, Q06830, Q01082, P15311, P0C0L4, P11142, O43707, O75390, P61353, Q00325, P05062, P00966, P01008, P02647, Q16851, P46777, P07355, P01024, Q9Y490	27	2242	20666	7.510688208279643	2.930988785010413E-14	2.5007007664858788E-14	2.17864081928694E-14
INTERPRO	IPR001840:Anaphylatoxn_comp_syst_dom	5	18.51851851851852	2.9459115894399546E-11	P0C0L4, P01024	27	6	20667	637.8703703703704	4.212651560919767E-9	2.1063267864495676E-9	1.8559243013471714E-9
INTERPRO	IPR018081:Anaphylatoxin_comp_syst	5	18.51851851851852	2.9459115894399546E-11	P0C0L4, P01024	27	6	20667	637.8703703703704	4.212651560919767E-9	2.1063267864495676E-9	1.8559243013471714E-9
SMART	SM00104:ANATO	5	18.51851851851852	9.213024243535762E-11	P0C0L4, P01024	14	8	10680	476.7857142857143	1.8426038472796336E-9	1.8426048487071524E-9	1.8426048487071524E-9
INTERPRO	IPR000020:Anaphylatoxin/fibulin	5	18.51851851851852	1.3724184848434565E-10	P0C0L4, P01024	27	8	20667	478.4027777777777	1.9625589264826715E-8	6.541861444420475E-9	5.764157636342517E-9
UP_SEQ_FEATURE	DOMAIN:Anaphylatoxin-like	5	18.51851851851852	1.4170998956271844E-10	P0C0L4, P01024	27	8	20502	474.58333333333326	2.7491735221651936E-8	2.7491737975167378E-8	2.6641478037791067E-8
GOTERM_BP_DIRECT	GO:2000427~positive regulation of apoptotic cell clearance	5	18.51851851851852	1.761448466991654E-10	P0C0L4, P01024	27	8	19416	449.4444444444444	5.654250379016901E-8	5.6542495790432095E-8	5.583791640363543E-8
UP_SEQ_FEATURE	CROSSLNK:Isoglutamyl cysteine thioester (Cys-Gln)	5	18.51851851851852	4.2440022267464524E-10	P0C0L4, P01024	27	10	20502	379.6666666666667	8.233363191223475E-8	4.116682159944059E-8	3.989362093141665E-8
INTERPRO	IPR019742:MacrogloblnA2_CS	5	18.51851851851852	6.453452943775072E-10	P0C0L4, P01024	27	11	20667	347.9292929292929	9.228437836128478E-8	2.307109427399588E-8	2.0328376772891474E-8
SMART	SM01419:Thiol-ester_cl	5	18.51851851851852	9.378747813514204E-10	P0C0L4, P01024	14	13	10680	293.4065934065934	1.875749533475357E-8	7.152291773675423E-9	7.152291773675423E-9
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	8	29.629629629629626	1.1953022063879948E-9	P0C0L4, P11142, P01008, P02647, P01024	27	168	20666	36.44797178130511	1.5777987683041061E-7	7.888994562160766E-8	6.87298768673097E-8
SMART	SM01359:A2M_N_2	5	18.51851851851852	1.3121388371806237E-9	P0C0L4, P01024	14	14	10680	272.44897959183675	2.624277650742357E-8	7.152291773675423E-9	7.152291773675423E-9
INTERPRO	IPR047565:Alpha-macroglob_thiol-ester_cl	5	18.51851851851852	1.3958671302343466E-9	P0C0L4, P01024	27	13	20667	294.4017094017094	1.9960897390536303E-7	2.8515571374787364E-8	2.512560834421824E-8
INTERPRO	IPR002890:MG2	5	18.51851851851852	1.3958671302343466E-9	P0C0L4, P01024	27	13	20667	294.4017094017094	1.9960897390536303E-7	2.8515571374787364E-8	2.512560834421824E-8
INTERPRO	IPR040839:MG4	5	18.51851851851852	1.3958671302343466E-9	P0C0L4, P01024	27	13	20667	294.4017094017094	1.9960897390536303E-7	2.8515571374787364E-8	2.512560834421824E-8
SMART	SM01360:A2M	5	18.51851851851852	1.7880729434188558E-9	P0C0L4, P01024	14	15	10680	254.2857142857143	3.576145768402483E-8	7.152291773675423E-9	7.152291773675423E-9
SMART	SM01361:A2M_recep	5	18.51851851851852	1.7880729434188558E-9	P0C0L4, P01024	14	15	10680	254.2857142857143	3.576145768402483E-8	7.152291773675423E-9	7.152291773675423E-9
INTERPRO	IPR011625:A2M_N_BRD	5	18.51851851851852	1.9525493212036563E-9	P0C0L4, P01024	27	14	20667	273.37301587301585	2.792145175067873E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR041555:MG3	5	18.51851851851852	1.9525493212036563E-9	P0C0L4, P01024	27	14	20667	273.37301587301585	2.792145175067873E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR009048:A-macroglobulin_rcpt-bd	5	18.51851851851852	2.660299387506244E-9	P0C0L4, P01024	27	15	20667	255.14814814814812	3.8042274597138714E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR001599:Macroglobln_a2	5	18.51851851851852	2.660299387506244E-9	P0C0L4, P01024	27	15	20667	255.14814814814812	3.8042274597138714E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR036595:A-macroglobulin_rcpt-bd_sf	5	18.51851851851852	2.660299387506244E-9	P0C0L4, P01024	27	15	20667	255.14814814814812	3.8042274597138714E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR011626:Alpha-macroglobulin_TED	5	18.51851851851852	2.660299387506244E-9	P0C0L4, P01024	27	15	20667	255.14814814814812	3.8042274597138714E-7	2.9263293262568686E-8	2.5784440217368208E-8
INTERPRO	IPR050473:A2M/Complement_sys	5	18.51851851851852	3.5440444088890783E-9	P0C0L4, P01024	27	16	20667	239.20138888888886	5.067982203899035E-7	3.619988217650987E-8	3.1896399680001704E-8
SMART	SM00643:C345C	5	18.51851851851852	5.063649608934308E-9	P0C0L4, P01024	14	19	10680	200.75187969924812	1.0127298732953705E-7	1.6878832029781028E-8	1.6878832029781028E-8
INTERPRO	IPR048847:C4_MG1	4	14.814814814814813	7.064031432046594E-9	P0C0L4	27	4	20667	765.4444444444443	1.010155993741435E-6	6.734376631884419E-8	5.933786402919139E-8
UP_SEQ_FEATURE	SITE:Responsible for effective binding to form amide bonds with immune aggregates or protein antigens	4	14.814814814814813	7.235921353919076E-9	P0C0L4	27	4	20502	759.3333333333333	1.4037677532607873E-6	4.6792291422010025E-7	4.5345107151226207E-7
UP_KW_PTM	KW-0882~Thioester bond	5	18.51851851851852	7.250163218652611E-9	P0C0L4, P01024	26	14	14268	195.989010989011	1.0150228069161216E-7	1.0875244827978917E-7	1.0875244827978917E-7
INTERPRO	IPR018933:Netrin_module_non-TIMP	5	18.51851851851852	9.402452567662826E-9	P0C0L4, P01024	27	20	20667	191.3611111111111	1.3445498233677355E-6	8.40344198234865E-8	7.404431397034475E-8
INTERPRO	IPR008930:Terpenoid_cyclase/PrenylTrfase	5	18.51851851851852	1.1604900570104138E-8	P0C0L4, P01024	27	21	20667	182.24867724867724	1.6594994178831257E-6	9.761769303087598E-8	8.601279246077185E-8
INTERPRO	IPR001134:Netrin_domain	5	18.51851851851852	2.8864758313184198E-8	P0C0L4, P01024	27	26	20667	147.2008547008547	4.127651986429726E-6	2.293144688214078E-7	2.020533081922894E-7
UP_SEQ_FEATURE	DOMAIN:NTR	5	18.51851851851852	2.9800819709816186E-8	P0C0L4, P01024	27	26	20502	146.02564102564102	5.781342396038447E-6	1.4453397559260851E-6	1.4006385263613607E-6
INTERPRO	IPR008993:TIMP-like_OB-fold	5	18.51851851851852	3.385585152861339E-8	P0C0L4, P01024	27	27	20667	141.74897119341563	4.841375136455106E-6	2.548098299258797E-7	2.2451775224238353E-7
GOTERM_BP_DIRECT	GO:0006956~complement activation	5	18.51851851851852	6.759809732731569E-8	P0C0L4, P01024	27	30	19416	119.85185185185185	2.1698754558818756E-5	1.0849494621034168E-5	1.0714298426379536E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0180~Complement pathway	5	18.51851851851852	2.1835466278113645E-7	P0C0L4, P01024	19	35	11434	85.96992481203007	7.205678697941309E-6	7.205703871777503E-6	7.205703871777503E-6
GOTERM_MF_DIRECT	GO:0004866~endopeptidase inhibitor activity	5	18.51851851851852	3.4504273011770876E-7	P0C0L4, P01024	27	44	19208	80.84175084175084	4.174930602629523E-5	2.182043621486163E-5	2.091876529689214E-5
