Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR019809:Histone_H4_CS	14	28.57142857142857	1.3430751192559415E-34	P62805	49	14	20667	421.7755102040816	2.1489201908095065E-32	2.1489201908095065E-32	1.8803051669583182E-32
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in UFM1); alternate	14	28.57142857142857	1.4906074842971384E-34	P62805	49	14	20502	418.40816326530614	4.9040986233375854E-32	2.4520493116687927E-32	2.2135521141812507E-32
UP_SEQ_FEATURE	MUTAGEN:K->A: Impaired methylation by N6AMT1.	14	28.57142857142857	1.4906074842971384E-34	P62805	49	14	20502	418.40816326530614	4.9040986233375854E-32	2.4520493116687927E-32	2.2135521141812507E-32
INTERPRO	IPR001951:Histone_H4	14	28.57142857142857	1.0055992886206488E-33	P62805	49	15	20667	393.65714285714284	1.6089588617930383E-31	5.363196205976794E-32	4.6927966802296944E-32
INTERPRO	IPR035425:CENP-T/H4_C	14	28.57142857142857	1.0055992886206488E-33	P62805	49	15	20667	393.65714285714284	1.6089588617930383E-31	5.363196205976794E-32	4.6927966802296944E-32
UP_SEQ_FEATURE	MUTAGEN:K->R: Abolished ufmylation.	14	28.57142857142857	1.116045790583879E-33	P62805	49	15	20502	390.51428571428573	3.671790651020962E-31	1.2239302170069874E-31	1.1048853326780404E-31
INTERPRO	IPR004823:TAF_TATA-bd_Histone-like_dom	14	28.57142857142857	5.354106923293988E-33	P62805	49	16	20667	369.0535714285714	8.56657107727038E-31	2.141642769317595E-31	1.8739374231528958E-31
UP_SEQ_FEATURE	DOMAIN:TATA box binding protein associated factor (TAF) histone-like fold	14	28.57142857142857	5.9420753992979454E-33	P62805	49	16	20502	366.10714285714283	1.954942806369024E-30	4.88735701592256E-31	4.411990983978725E-31
GOTERM_CC_DIRECT	GO:0043505~CENP-A containing nucleosome	14	28.57142857142857	8.169174274100194E-32	P62805	49	18	20666	328.031746031746	1.4541130207898345E-29	1.4541130207898345E-29	1.2580528382114298E-29
SMART	SM00417:H4	14	28.57142857142857	9.931405423235822E-32	P62805	38	15	10680	262.3157894736842	2.8801075727383885E-30	2.8801075727383885E-30	2.4828513558089555E-30
GOTERM_BP_DIRECT	GO:0061644~protein localization to CENP-A containing chromatin	14	28.57142857142857	1.8378192732654069E-31	P62805	49	18	19416	308.19047619047615	9.023692631733147E-29	9.023692631733147E-29	8.89504528260457E-29
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	41	83.6734693877551	2.9107544379777843E-31	P06733, P02671, P31327, P62805, P60709, P04406, P53999, P35579, P15311, P00738, P63261, Q15084, P08670, Q71DI3, P02647, P01876, P04075, P05783, Q04828, P02774, Q99878, P02751, P21796, P21333	49	2242	20666	7.712738262120191	5.181142899600456E-29	2.590571449800228E-29	2.2412809172428938E-29
SMART	SM00803:TAF	14	28.57142857142857	5.284830010171886E-31	P62805	38	16	10680	245.92105263157893	1.532600702949847E-29	7.663003514749235E-30	6.606037512714857E-30
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	14	28.57142857142857	1.656793752872098E-30	P62805	49	20	19416	277.37142857142857	8.134857326602001E-28	4.067428663301001E-28	4.0094408819504767E-28
UP_KW_PTM	KW-0164~Citrullination	20	40.816326530612244	1.859656383246933E-29	P07305, P62805, Q71DI3, P40429, Q99878	47	105	14268	57.82370820668693	2.9754502131950926E-28	3.161415851519786E-28	1.8596563832469328E-28
GOTERM_CC_DIRECT	GO:0000786~nucleosome	20	40.816326530612244	2.944455450971271E-29	P07305, P62805, Q71DI3, P60709, Q99878	49	144	20666	58.57709750566894	5.241130702728862E-27	1.7470435675762875E-27	1.5114871314985858E-27
GOTERM_MF_DIRECT	GO:0030527~structural constituent of chromatin	19	38.775510204081634	4.5035755331885737E-29	P07305, P62805, Q71DI3, Q99878	49	108	19208	68.96296296296296	7.385863874429261E-27	7.385863874429261E-27	6.890470565778517E-27
GOTERM_BP_DIRECT	GO:0032200~telomere organization	14	28.57142857142857	4.233087281145625E-28	P62805	49	27	19416	205.46031746031744	2.0784458550425017E-25	6.928152850141672E-26	6.829380813581608E-26
UP_KW_CELLULAR_COMPONENT	KW-0544~Nucleosome core	18	36.734693877551024	5.956557900045E-28	P62805, Q71DI3, Q99878	48	92	17932	73.09239130434783	1.25087715900945E-26	1.25087715900945E-26	1.1913115800089999E-26
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate	17	34.69387755102041	6.817354205599736E-26	P62805, Q03135, Q99878, P21796	49	101	20502	70.42513639119014	2.242909533642313E-23	4.485819067284626E-24	4.049508398126243E-24
