Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	119	55.348837209302324	5.823570276580092E-58	Q14204, P23396, P07900, P52272, P56199, Q9P2R7, P0C0L5, P0C0L4, Q8WUM4, P98160, P07237, P07910, P49257, P62805, P12429, Q9NS93, Q9NRX4, P19338, P01903, P09382, P05062, P49368, P06396, P60866, P22105, P08697, P62249, P00450, P04217, Q13813, O75369, P11940, P51888, O43776, P12111, O60701, P25705, P19827, P08263, Q93088, O14964, P22314, Q8WZ42, P50440, P29401, P35749, P05556, P53396, P68133, O95183, P17661, Q9Y2J8, P68371, P34896, Q9Y6R7, P17655, P01008, P08311, P04350, P04075, P61978, Q14764, Q9BUT1, P35579, P63244, P00747, Q15181, P39023, P01834, P63000, P08123, P09972, P07437, P60709, P22392, P68032, Q99832, P49327, P05023, P02751, P21333, P02671, P02790, P14618, Q9BPX5, Q06323, Q9H223, P50995, P63267, P63261, P15153, P02787, P62851, Q9Y490, Q9UL46, P04424, P21283, P51571, P53999, O14818, Q00325, Q9NZN4, P06576	214	2242	20666	5.12570968844573	2.277015978142816E-55	2.277015978142816E-55	1.9101310507182702E-55
UP_KW_PTM	KW-0007~Acetylation	129	60.0	6.828209057167053E-34	Q14204, P08559, P23396, P07900, P52272, P52790, Q6NZI2, P18124, Q9P2R7, Q9NUU7, Q9UJS0, P22695, Q15020, Q8WUM4, P07237, O14548, P05455, P07910, P62805, P12429, Q9NRX4, P11177, P54868, P19338, P09382, P05062, P49368, P06396, P60866, P62249, O15020, P26640, Q13813, O75369, P11940, P57740, O43776, Q96I99, Q8IVF2, O60701, P25705, P08263, P31040, P00325, P40429, O14964, P22314, Q9BQE5, P50440, P29401, Q13303, P05556, P53396, P68133, P51659, P68371, P34896, P17655, Q56VL3, P04075, P43487, P61978, P07305, P31930, Q14764, Q96EP5, Q9Y6K5, P13667, P36542, P35579, P63244, P36551, Q15181, P39023, P63000, P09972, P07437, Q16836, Q14258, P60709, Q15746, P68032, P11498, Q99832, P49327, P05023, P21333, P13804, P14618, Q5SSJ5, Q9H223, P19237, P50995, P42766, P63267, P63261, P15153, P62851, Q9Y490, P54687, Q9UL46, P04424, P21283, P19367, P11474, P53999, P48739, O14818, Q00325, P49821, P48059, Q9ULV4, Q14683, P06576	197	3505	14268	2.665621990340123	1.6387701737200926E-32	1.7070522642917632E-32	1.160795539718399E-32
UP_SEQ_FEATURE	MUTAGEN:K->A: Impaired methylation by N6AMT1.	14	6.511627906976744	1.1451846445330366E-25	P62805	209	14	20502	98.09569377990431	1.969717588596823E-22	9.848587942984115E-23	9.716891708862815E-23
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in UFM1); alternate	14	6.511627906976744	1.1451846445330366E-25	P62805	209	14	20502	98.09569377990431	1.969717588596823E-22	9.848587942984115E-23	9.716891708862815E-23
INTERPRO	IPR019809:Histone_H4_CS	14	6.511627906976744	1.4178383255912816E-25	P62805	214	14	20667	96.57476635514018	1.3285145110790308E-22	1.3285145110790308E-22	1.259040433125058E-22
UP_SEQ_FEATURE	MUTAGEN:K->R: Abolished ufmylation.	14	6.511627906976744	8.507137834062723E-25	P62805	209	15	20502	91.55598086124402	1.4632277074587884E-21	4.877425691529295E-22	4.812204301468147E-22
INTERPRO	IPR035425:CENP-T/H4_C	14	6.511627906976744	1.0530811725127924E-24	P62805	214	15	20667	90.13644859813083	9.867370586444865E-22	3.289123528814955E-22	3.1171202706378654E-22
INTERPRO	IPR001951:Histone_H4	14	6.511627906976744	1.0530811725127924E-24	P62805	214	15	20667	90.13644859813083	9.867370586444865E-22	3.289123528814955E-22	3.1171202706378654E-22
UP_SEQ_FEATURE	DOMAIN:TATA box binding protein associated factor (TAF) histone-like fold	14	6.511627906976744	4.4939546293642346E-24	P62805	209	16	20502	85.83373205741627	7.729601962506484E-21	1.932400490626621E-21	1.9065602515077766E-21
INTERPRO	IPR004823:TAF_TATA-bd_Histone-like_dom	14	6.511627906976744	5.562041743142586E-24	P62805	214	16	20667	84.50292056074765	5.211633113324603E-21	1.3029082783311507E-21	1.2347732669776541E-21
SMART	SM00417:H4	14	6.511627906976744	8.820984123006394E-24	P62805	133	15	10680	74.94736842105263	1.2172958089748824E-21	1.2172958089748824E-21	1.1379069518678248E-21
SMART	SM00803:TAF	14	6.511627906976744	4.652031808154471E-23	P62805	133	16	10680	70.26315789473684	6.419803895253171E-21	3.2099019476265853E-21	3.0005605162596338E-21
GOTERM_CC_DIRECT	GO:0043505~CENP-A containing nucleosome	14	6.511627906976744	8.351118218907836E-23	P62805	214	18	20666	75.11007268951194	3.265287223592964E-20	1.632643611796482E-20	1.369583387900885E-20
GOTERM_BP_DIRECT	GO:0061644~protein localization to CENP-A containing chromatin	14	6.511627906976744	1.365245019133001E-22	P62805	209	18	19416	72.25518341307816	1.8075844053320933E-19	1.8075844053320933E-19	1.7557050946050395E-19
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	14	6.511627906976744	1.21051153852714E-21	P62805	209	20	19416	65.02966507177034	1.6027172770099333E-18	8.013586385049667E-19	7.78358919272951E-19
GOTERM_BP_DIRECT	GO:0032200~telomere organization	14	6.511627906976744	2.9182750409926915E-19	P62805	209	27	19416	48.17012227538543	3.8637961542743235E-16	1.2879320514247746E-16	1.2509672342388673E-16
GOTERM_MF_DIRECT	GO:0003723~RNA binding	59	27.44186046511628	1.231847519335175E-18	P07305, P0DMR1, Q14204, P23396, P07900, P14618, O43896, P52272, O75369, P11940, Q96EP5, P13667, P36542, Q6NZI2, P18124, P35579, P50995, Q9NUU7, P63244, P42766, P25705, P39023, P40429, Q15020, P62851, P22314, P07237, P05455, P07910, Q14258, P30876, Q8TB72, P62805, P08708, P53999, P19338, P09382, P49327, P04075, P49368, P61978, P60866, Q14683, P21333, P62249	209	1473	19208	3.681163657152509	6.146919121482522E-16	6.146919121482522E-16	5.77736486568197E-16
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate	28	13.023255813953488	2.295542833508962E-16	P07910, P23396, P14618, P62805, P08708, P52272, Q6NZI2, P11474, P53999, P19338, Q9NUU7, P39023, P04075, P61978, P21333	209	350	20502	7.847655502392344	3.8191672047105385E-13	6.84626388604769E-14	6.754715008501702E-14
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate	18	8.372093023255815	2.388231588156171E-16	P07437, P23396, P53396, P62805, P60866	209	101	20502	17.482400871666115	3.8191672047105385E-13	6.84626388604769E-14	6.754715008501702E-14
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	21	9.767441860465116	7.404960642656058E-16	P02671, P00450, P02790, P04217, P60709, P68133, P68032, P0C0L5, P0C0L4, P63267, P63261, P00747, P19827, P01834, P01008, P02787, P06396, P08697, P02751	214	168	20666	12.071261682242989	3.0386804183990535E-13	9.651132037595063E-14	8.09609030263729E-14
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	30	13.953488372093023	1.0605379076435637E-15	P23396, O75369, P56199, P11940, Q9BPX5, P18124, P35579, P63261, P15153, P39023, P63000, P40429, Q8WUM4, P98160, Q9UBG0, P07237, Q9Y490, P05556, P08708, P50281, P60709, P68032, P17655, P48059, P06396, P61978, Q9ULV4, P62249, P21333	214	431	20666	6.721816249972894	4.340972026284362E-13	1.0366758047215835E-13	8.696410842677222E-14
GOTERM_CC_DIRECT	GO:0005829~cytosol	110	51.162790697674424	4.526328133931851E-14	Q14204, P53365, P23396, P07900, P52790, Q6NZI2, P18124, Q8WUM4, Q9Y6X1, P07237, P05455, P07910, Q9Y678, Q9UM07, Q8TB72, Q9NRX4, P09382, P05062, P49368, P06396, P60866, P62249, O15020, P26640, Q13813, O75369, Q6YHK3, P11940, P57740, O43776, Q8IVF2, O60701, O00291, Q00536, P08263, Q93088, P00325, P40429, O14964, P22314, Q8WZ42, P29401, P35749, Q13303, P53396, P09917, P08708, P50281, P68133, P17661, P51659, Q9Y2J8, P68371, P34896, O95340, P17655, P08311, P04350, P04075, Q9UKX2, P43487, Q14764, Q9BUT1, Q96EP5, Q9Y6K5, P35579, P63244, P36551, Q15181, P39023, P63000, P09972, P07437, Q14258, P60709, Q15746, P22392, P68032, Q5VST9, P11498, Q99832, P49327, P21333, P14618, P13805, Q06323, P19237, P50995, P42766, P63267, P63261, P15153, P11908, P62851, Q9Y490, P54687, Q9UL46, P04424, P21283, P19367, O14818, P49821, Q9NZN4, P48059, Q15256, Q14683, Q5SXM8	214	5576	20666	1.9050771664945896	1.7711165867240197E-11	3.539588600734708E-12	2.969271255859294E-12
UP_KW_PTM	KW-0164~Citrullination	18	8.372093023255815	6.252521265023994E-14	P07305, Q9UM07, P62805, Q5SSJ5, P40429	197	105	14268	12.41595358955765	1.5001333508735115E-12	6.20852380203712E-13	4.221796185385242E-13
