"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","method","set","auc"
1,1,0.960696712260482,1,0.5,2.01948391736578e-28,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__1Logistic Regression","training",1
0.666666666666667,0.25,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,1,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.666666666666667,0.5,0.666666666666667,0.625,"1__1Logistic Regression","testing",0.625
0.91304347826087,0.826086956521739,0.835833249111793,0.961707942964089,0.5,2.07212400267445e-17,0.288844366346485,0.869565217391304,0.956521739130435,0.952380952380952,0.88,0.952380952380952,0.869565217391304,0.909090909090909,0.5,0.434782608695652,0.456521739130435,0.91304347826087,"1__2ridge","training",0.91304347826087
0.722222222222222,0.444444444444444,0.465198034416944,0.903050787474441,0.666666666666667,0.412242605991857,0.371093369522698,0.666666666666667,0.833333333333333,0.888888888888889,0.555555555555556,0.888888888888889,0.666666666666667,0.761904761904762,0.666666666666667,0.444444444444444,0.5,0.75,"1__2ridge","testing",0.75
0.869565217391304,0.739130434782609,0.783238751126456,0.930747314548257,0.5,8.57799767986479e-14,1,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,0.5,0.434782608695652,0.5,0.869565217391304,"1__3lasso","training",0.869565217391304
0.611111111111111,0.275862068965517,0.357451205893063,0.827014145210248,0.666666666666667,0.776739838351709,0.130570018115737,0.5,0.833333333333333,0.857142857142857,0.454545454545455,0.857142857142857,0.5,0.631578947368421,0.666666666666667,0.333333333333333,0.388888888888889,0.666666666666667,"1__3lasso","testing",0.666666666666667
0.83695652173913,0.673913043478261,0.74538087368341,0.905774837758843,0.5,1.63120046171975e-11,1,0.847826086956522,0.826086956521739,0.829787234042553,0.844444444444444,0.829787234042553,0.847826086956522,0.838709677419355,0.5,0.423913043478261,0.510869565217391,0.83695652173913,"1__4KNN","training",0.83695652173913
0.666666666666667,0.307692307692308,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,0.683091398309609,0.666666666666667,0.666666666666667,0.8,0.5,0.8,0.666666666666667,0.727272727272727,0.666666666666667,0.444444444444444,0.555555555555556,0.666666666666667,"1__4KNN","testing",0.666666666666667
0.945652173913043,0.891304347826087,0.877712864400531,0.982120206607639,0.5,1.05217418345391e-20,0.0736382701203028,0.891304347826087,1,1,0.901960784313726,1,0.891304347826087,0.942528735632184,0.5,0.445652173913043,0.445652173913043,0.945652173913043,"1__5SVM","training",0.945652173913043
0.666666666666667,0.357142857142857,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,0.220671361919847,0.583333333333333,0.833333333333333,0.875,0.5,0.875,0.583333333333333,0.7,0.666666666666667,0.388888888888889,0.444444444444444,0.708333333333333,"1__5SVM","testing",0.708333333333333
0.858695652173913,0.717391304347826,0.770492624909088,0.922560821634968,0.5,5.36687370537399e-13,0.0265002806024918,0.760869565217391,0.956521739130435,0.945945945945946,0.8,0.945945945945946,0.760869565217391,0.843373493975904,0.5,0.380434782608696,0.402173913043478,0.858695652173913,"1__6Decision Tree","training",0.858695652173913
0.666666666666667,0.4,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,0.0412268333371636,0.5,1,1,0.5,1,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.75,"1__6Decision Tree","testing",0.75
1,1,0.960696712260482,1,0.5,2.01948391736578e-28,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__7Random Forest","training",1
0.666666666666667,0.357142857142857,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,0.220671361919847,0.583333333333333,0.833333333333333,0.875,0.5,0.875,0.583333333333333,0.7,0.666666666666667,0.388888888888889,0.444444444444444,0.708333333333333,"1__7Random Forest","testing",0.708333333333333
1,1,0.960696712260482,1,0.5,2.01948391736578e-28,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__8XGBoost","training",1
0.611111111111111,0.222222222222222,0.357451205893063,0.827014145210248,0.666666666666667,0.776739838351709,0.449691797968891,0.583333333333333,0.666666666666667,0.777777777777778,0.444444444444444,0.777777777777778,0.583333333333333,0.666666666666667,0.666666666666667,0.388888888888889,0.5,0.625,"1__8XGBoost","testing",0.625
0.945652173913043,0.891304347826087,0.877712864400531,0.982120206607639,0.5,1.05217418345391e-20,0.0736382701203028,0.891304347826087,1,1,0.901960784313726,1,0.891304347826087,0.942528735632184,0.5,0.445652173913043,0.445652173913043,0.945652173913043,"1__9LightGBM","training",0.945652173913043
0.666666666666667,0.357142857142857,0.409925238172074,0.866572597493876,0.666666666666667,0.608510346493316,0.220671361919847,0.583333333333333,0.833333333333333,0.875,0.5,0.875,0.583333333333333,0.7,0.666666666666667,0.388888888888889,0.444444444444444,0.708333333333333,"1__9LightGBM","testing",0.708333333333333
