predictions,Actual,predictions_type,AUC,Fold,Model
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
1,1,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,training,1,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
1,1,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
0,1,testing,0.625,1,1Logistic Regression
0,1,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
1,0,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
1,0,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
0,1,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
0,0,testing,0.625,1,1Logistic Regression
1,0,testing,0.625,1,1Logistic Regression
1,1,testing,0.625,1,1Logistic Regression
1,1,testing,0.625,1,1Logistic Regression
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
0,0,training,0.913043478,1,2ridge
1,1,training,0.913043478,1,2ridge
