epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
57,2,2,86.6574,85.9066,81.3301,91.0289,37316.14003,90.593,66.7902,81.746,56.4605,2410.993069,121318,49334,4862,55797,11325,7622,721,556,6184,161,172.339
44,2,2,86.2024,85.5759,81.8592,89.6461,38756.27058,89.5041,64.6018,82.7664,52.9753,2738.36887,121318,49655,5735,54924,11004,7622,730,648,6092,152,172.2705
52,2,2,86.523,85.9217,82.2516,89.9346,38189.03555,89.5041,64.6018,82.7664,52.9753,2745.960993,121318,49893,5584,55075,10766,7622,730,648,6092,152,172.2705
47,2,2,86.3417,85.5815,81.0696,90.6253,38244.72397,90.3044,66.1165,81.746,55.5042,2563.26861,121318,49176,5087,55572,11483,7622,721,578,6162,161,172.0504
58,5,5,86.6912,86.0314,81.9681,90.5187,37214.09774,90.3962,66.2983,81.6327,55.814,2496.242524,121318,49721,5208,55451,10938,7622,720,570,6170,162,172.0289
50,2,2,86.5329,85.6101,80.12,91.9079,37924.00816,91.1441,67.8418,80.7256,58.5045,2401.595427,121318,48600,4279,56380,12059,7622,712,505,6235,170,171.8697
55,5,5,86.7011,85.918,81.1405,91.2934,37312.50507,90.9997,67.5189,80.839,57.9675,2415.360623,121318,49219,4694,55965,11440,7622,713,517,6223,169,171.8387
59,2,2,86.6895,85.8767,80.9344,91.4619,37107.13868,90.7636,67.0103,81.0658,57.1086,2380.656254,121318,49094,4583,56076,11565,7622,715,537,6203,167,171.8294
58,2,2,86.6475,85.8715,81.1553,91.1697,37304.68148,90.6455,66.7599,81.1791,56.6904,2363.497108,121318,49228,4768,55891,11431,7622,716,547,6193,166,171.8246
51,2,2,86.4999,85.7352,81.1388,90.8836,37799.66574,90.4093,66.2667,81.4059,55.8755,2489.871723,121318,49218,4937,55722,11441,7622,718,567,6173,164,171.8152
56,2,2,86.6524,85.8513,80.9905,91.333,37332.53317,90.7242,66.9162,81.0658,56.9721,2426.529913,121318,49128,4662,55997,11531,7622,715,540,6200,167,171.79
42,1,1,86.0532,85.1566,80.0129,91.0071,39036.71831,91.1441,67.8112,80.6122,58.5185,2334.86548,121318,48535,4796,55863,12124,7622,711,504,6236,171,171.7563
54,5,5,86.4958,85.648,80.5882,91.3856,37461.55987,91.1309,67.7788,80.6122,58.4704,2405.888392,121318,48884,4608,56051,11775,7622,711,505,6235,171,171.7431
48,1,1,86.4612,85.6921,81.0861,90.853,38088.43005,90.7636,66.9794,80.9524,57.12,2365.655865,121318,49186,4952,55707,11473,7622,714,536,6204,168,171.716
52,1,1,86.4826,85.8577,82.0637,90.0195,38062.35271,89.9633,65.3376,81.746,54.4151,2537.026499,121318,49779,5519,55140,10880,7622,721,604,6136,161,171.7093
52,5,5,86.5898,85.9076,81.7488,90.5122,37608.42154,90.4093,66.2356,81.2925,55.8846,2563.962307,121318,49588,5198,55461,11071,7622,717,566,6174,165,171.7018
35,1,1,85.9551,85.2037,80.8767,90.0198,39493.27196,90.0551,65.5141,81.6327,54.7112,2601.496408,121318,49059,5439,55220,11600,7622,720,596,6144,162,171.6878
49,2,2,86.359,85.4936,80.3937,91.2845,37923.43196,90.7111,66.8539,80.9524,56.9378,2403.164816,121318,48766,4656,56003,11893,7622,714,540,6200,168,171.6635
52,3,3,86.4554,85.8408,82.1148,89.9211,38498.65088,89.6746,64.7559,81.9728,53.5159,2702.315521,121318,49810,5583,55076,10849,7622,723,628,6112,159,171.6474
54,1,1,86.5247,85.7135,80.847,91.2034,37748.2952,91.1441,67.7804,80.4989,58.5326,2353.244591,121318,49041,4730,55929,11618,7622,710,503,6237,172,171.643
46,2,2,86.4299,85.6423,80.9443,90.9192,38118.84991,90.3437,66.0829,81.2925,55.6677,2505.319632,121318,49100,4904,55755,11559,7622,717,571,6169,165,171.6362
49,5,5,86.4109,85.5155,80.2288,91.548,37679.05527,91.4458,68.4414,80.1587,59.7128,2371.719254,121318,48666,4493,56166,11993,7622,707,477,6263,175,171.6045
42,2,2,86.209,85.2996,80.0228,91.3214,38539.39929,90.7636,66.9484,80.839,57.1314,2330.771069,121318,48541,4613,56046,12118,7622,713,535,6205,169,171.6026
47,1,1,86.3178,85.425,80.1926,91.388,38198.03955,91.2097,67.9119,80.3855,58.7894,2282.449791,121318,48644,4584,56075,12015,7622,709,497,6243,173,171.5952
31,1,1,85.7235,84.9493,80.58,89.8197,40167.23668,90.0682,65.5125,81.5193,54.7601,2705.940842,121318,48879,5540,55119,11780,7622,719,594,6146,163,171.5875
55,2,2,86.5725,85.9702,82.2796,90.0074,37698.1775,89.4909,64.3842,82.0862,52.9627,2622.759747,121318,49910,5541,55118,10749,7622,724,643,6097,158,171.5771
32,1,1,85.7284,84.9734,80.7036,89.7201,39917.82285,89.937,65.2469,81.6327,54.3396,2616.607428,121318,48954,5609,55050,11705,7622,720,605,6135,162,171.5697
56,5,5,86.6689,86.0386,82.1543,90.3084,37290.46973,90.1601,65.6908,81.4059,55.0613,2542.487375,121318,49834,5348,55311,10825,7622,718,586,6154,164,171.566
58,1,1,86.6524,86.0023,82.0076,90.406,37262.63185,90.1469,65.6607,81.4059,55.0192,2420.561184,121318,49745,5279,55380,10914,7622,718,587,6153,164,171.5528
40,1,1,86.1546,85.3981,80.974,90.3336,39051.36815,90.4618,66.2958,81.0658,56.0784,2504.026571,121318,49118,5256,55403,11541,7622,715,560,6180,167,171.5276
