epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
1,1,86.6203,85.9553,81.8856,90.4507,42566.40297,90.3569,66.3307,82.0862,55.6495,2536.459234,121318,49671,5244,0,10988,7622,724,577,0,158,86.22155
3,1,87.9919,87.7229,85.801,89.7329,37851.57256,89.1367,63.8428,82.8798,51.9176,2526.710201,121318,52046,5955,0,8613,7622,731,677,0,151,86.00825
6,1,90.0114,89.8733,88.648,91.133,31841.47602,89.9501,65.3394,81.8594,54.3675,2214.232096,121318,53773,5232,0,6886,7622,722,606,0,160,85.90475
4,1,88.8714,88.563,86.1752,91.087,35430.61889,90.2781,65.9936,81.5193,55.4356,2265.056322,121318,52273,5115,0,8386,7622,719,578,0,163,85.8987
5,1,89.4352,89.2418,87.6374,90.906,33647.94382,89.8714,65.1625,81.8594,54.1229,2275.691578,121318,53160,5318,0,7499,7622,722,612,0,160,85.8654
7,1,90.6494,90.6167,90.3015,90.9341,30126.86303,89.4122,64.2446,82.1995,52.7273,2167.819767,121318,54776,5461,0,5883,7622,725,650,0,157,85.80585
4,2,88.7263,88.5049,86.8,90.2781,35730.71803,88.835,63.1761,82.7664,51.0847,2546.158188,121318,52652,5670,0,8007,7622,730,699,0,152,85.8007
2,3,87.0019,86.3643,82.3258,90.8195,41174.18579,90.0813,65.4795,81.2925,54.8165,2636.888277,121318,49938,5048,0,10721,7622,717,591,0,165,85.6869
14,1,93.8072,94.0549,97.9739,90.4373,21938.25163,87.4049,60.6557,83.9002,47.4968,2414.641525,121318,59430,6284,0,1229,7622,740,818,0,142,85.65255
10,1,92.6507,92.6814,93.0695,92.2965,25320.52427,90.1469,65.5663,81.0658,55.0423,2031.372349,121318,56455,4712,0,4204,7622,715,584,0,167,85.60635
3,2,87.602,86.9484,82.5945,91.787,38382.5759,90.4487,66.171,80.7256,56.063,2443.343769,121318,50101,4483,0,10558,7622,712,558,0,170,85.58715
9,1,91.96,92.0645,93.2772,90.883,27136.88162,88.835,63.0482,82.3129,51.0908,2220.660641,121318,56581,5676,0,4078,7622,726,695,0,156,85.57395
8,2,91.0904,91.0386,90.5125,91.5708,28669.79018,89.1105,63.5004,81.8594,51.8678,2252.406119,121318,54904,5054,0,5755,7622,722,670,0,160,85.48495
2,5,87.4479,86.9704,83.7831,90.4097,39684.32204,89.6746,64.5655,81.2925,53.5474,2357.932638,121318,50822,5391,0,9837,7622,717,622,0,165,85.48355
8,1,91.4497,91.5402,92.5188,90.582,28529.93221,88.7562,62.8522,82.1995,50.8772,2225.106012,121318,56121,5835,0,4538,7622,725,700,0,157,85.47785
7,2,90.421,90.3947,90.1466,90.6442,30312.58847,88.4414,62.2698,82.4263,50.0344,2379.927958,121318,54682,5644,0,5977,7622,727,726,0,155,85.43385
2,1,87.6243,87.0301,83.0429,91.4194,39517.37135,90.698,66.6039,80.1587,56.9702,2303.776577,121318,50373,4728,0,10286,7622,707,534,0,175,85.42835
10,5,92.4826,92.4915,92.6013,92.382,25732.179,89.8845,64.9386,80.9524,54.2141,2046.637056,121318,56171,4632,0,4488,7622,714,603,0,168,85.41845
3,5,88.1774,88.1749,88.1567,88.1931,37901.82465,87.2868,60.3032,83.4467,47.2097,2728.037435,121318,53475,7159,0,7184,7622,736,823,0,146,85.36675
16,1,94.7106,94.892,98.2624,91.7452,19774.14206,88.1658,61.7472,82.5397,49.3225,2390.387492,121318,59605,5363,0,1054,7622,728,748,0,154,85.35275
6,2,89.8111,89.5945,87.7298,91.5402,31911.20497,89.3729,63.9037,81.2925,52.6432,2297.982849,121318,53216,4918,0,7443,7622,717,645,0,165,85.3327
8,5,91.3582,91.4695,92.6623,90.307,28946.89886,88.074,61.5645,82.5397,49.0897,2351.395981,121318,56208,6033,0,4451,7622,728,755,0,154,85.30685
21,2,94.6842,94.9286,99.5038,90.7557,18352.19873,86.6833,59.3186,83.9002,45.8772,2769.28212,121318,60358,6148,0,301,7622,740,873,0,142,85.29175
9,2,91.4448,91.6931,94.4345,89.1065,27891.39844,86.3028,58.7352,84.2404,45.085,2592.336603,121318,57283,7003,0,3376,7622,743,905,0,139,85.2716
1,5,86.495,86.041,83.2424,89.0343,42736.8259,89.0055,63.181,81.5193,51.5782,2494.745925,121318,50494,6219,0,10165,7622,719,675,0,163,85.2624
12,1,93.3967,93.5124,95.1796,91.9025,23244.41586,89.2941,63.7011,81.1791,52.4158,2135.300369,121318,57735,5087,0,2924,7622,716,650,0,166,85.2366
13,1,93.1667,93.4382,97.3046,89.8674,23295.24831,86.762,59.3964,83.6735,46.0387,2418.437038,121318,59024,6655,0,1635,7622,738,865,0,144,85.21775
4,5,89.0264,88.7606,86.6615,90.9638,35096.77518,89.4647,64.0072,80.9524,52.9281,2278.873661,121318,52568,5222,0,8091,7622,714,635,0,168,85.20855
3,3,87.5525,87.0721,83.8359,90.5681,39131.08015,89.6615,64.3761,80.7256,53.5338,2597.700954,121318,50854,5296,0,9805,7622,712,618,0,170,85.19355
5,2,89.2703,89.0186,86.978,91.1573,33609.95684,89.2941,63.6687,81.0658,52.4194,2375.108488,121318,52760,5118,0,7899,7622,715,649,0,167,85.17995
4,3,88.0067,87.6981,85.4976,90.0148,37725.43699,88.953,63.0053,81.2925,51.4347,2615.640955,121318,51862,5753,0,8797,7622,717,677,0,165,85.12275
17,1,95.065,95.2376,98.6877,92.0205,18751.64608,88.1527,61.5908,82.0862,49.2852,2362.784612,121318,59863,5191,0,796,7622,724,745,0,158,85.11945
15,2,93.3728,93.7202,98.9054,89.0517,22243.40581,85.3975,57.34,84.8073,43.3121,2794.219881,121318,59995,7376,0,664,7622,748,979,0,134,85.1024
6,5,89.8614,89.6647,87.9589,91.438,32236.48051,89.5697,64.1407,80.6122,53.2584,2156.92592,121318,53355,4996,0,7304,7622,711,624,0,171,85.09095
11,1,92.7496,92.7078,92.1759,93.2458,24499.05807,90.9997,67.0509,79.1383,58.1667,1948.893038,121318,55913,4050,0,4746,7622,698,502,0,184,85.069
1,3,86.2337,85.3236,80.0326,91.3637,43701.69905,90.7373,66.4767,79.3651,57.1895,2716.464523,121318,48547,4589,0,12112,7622,700,524,0,182,85.0512
41,1,97.242,97.3102,99.7807,94.9591,11402.51038,90.1469,65.2476,79.932,55.1212,2829.166721,121318,60526,3213,0,133,7622,705,574,0,177,85.03945
15,5,93.8674,94.0924,97.6772,90.7615,21800.12806,87.5098,60.4651,82.5397,47.7064,2472.342121,121318,59250,6031,0,1409,7622,728,798,0,154,85.02475
19,2,94.8738,95.0941,99.3637,91.1763,18281.85233,86.7095,59.2026,83.3333,45.9088,2658.461842,121318,60273,5833,0,386,7622,735,866,0,147,85.0214
27,1,96.3732,96.4867,99.606,93.5569,14282.69151,88.9662,62.9679,81.0658,51.4759,2579.681597,121318,60420,4161,0,239,7622,715,674,0,167,85.016
5,3,88.4634,88.2686,86.8033,89.7843,36019.32256,88.507,62.1435,81.5193,50.2095,2650.158302,121318,52654,5991,0,8005,7622,719,713,0,163,85.01315
26,1,96.6641,96.7434,99.0982,94.4979,14032.9824,90.3175,65.5784,79.7052,55.7052,2457.221308,121318,60112,3500,0,547,7622,703,559,0,179,85.01135
14,5,93.9671,94.0736,95.7648,92.4411,22000.46035,89.609,64.1629,80.3855,53.3886,2155.126904,121318,58090,4750,0,2569,7622,709,619,0,173,84.99725
19,1,95.9684,96.0725,98.6185,93.6547,16753.69351,89.6877,64.3052,80.2721,53.6364,2268.094391,121318,59821,4053,0,838,7622,708,612,0,174,84.9799
7,5,90.9008,90.7894,89.6916,91.9144,30141.95926,89.7927,64.5073,80.1587,53.9695,2075.224751,121318,54406,4786,0,6253,7622,707,603,0,175,84.9757
9,5,91.7176,91.7022,91.5313,91.8736,27498.67484,89.5434,64.0181,80.3855,53.1883,2078.252658,121318,55522,4911,0,5137,7622,709,624,0,173,84.96445
11,5,92.9549,93.0444,94.2416,91.8772,24512.79356,89.0711,63.1253,80.839,51.7792,2088.915669,121318,57166,5054,0,3493,7622,713,664,0,169,84.95505
18,1,95.6041,95.6944,97.7019,93.7678,17901.84304,90.4093,65.729,79.4785,56.0352,2146.88769,121318,59265,3939,0,1394,7622,701,550,0,181,84.9439
23,1,95.3305,95.5206,99.5763,91.7824,16679.79718,87.4574,60.332,82.4263,47.5785,2657.16313,121318,60402,5408,0,257,7622,727,801,0,155,84.94185
9,4,91.3467,91.3764,91.6913,91.0637,27992.55901,88.9006,62.7968,80.9524,51.2931,2323.310839,121318,55619,5458,0,5040,7622,714,678,0,168,84.9265
10,4,92.0045,92.1794,94.2416,90.2056,26979.22746,87.8772,61.0127,81.9728,48.5887,2510.213287,121318,57166,6207,0,3493,7622,723,765,0,159,84.925
15,1,94.7172,94.7989,96.2891,93.3542,19854.01916,90.1338,65.1529,79.7052,55.094,2097.969199,121318,58408,4158,0,2251,7622,703,573,0,179,84.9195
24,1,95.844,95.9932,99.5681,92.6661,15633.45623,88.0215,61.2314,81.746,48.9477,2653.053259,121318,60397,4780,0,262,7622,721,752,0,161,84.88375
