epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
3,1,1,92.7274,92.96,96.0319,90.0786,24121.04404,87.9822,61.9917,84.6939,48.8874,2473.602255,121318,58252,6416,54243,2407,7622,747,781,5959,135,86.33805
7,5,5,94.4641,94.7423,99.7544,90.2098,18586.19444,86.3159,59.3372,86.2812,45.2169,3136.65365,121318,60510,6567,54092,149,7622,761,922,5818,121,86.29855
21,5,5,96.7408,96.8421,99.9489,93.9226,15322.67411,88.7562,63.2662,83.6735,50.8615,4459.842148,121318,60628,3923,56736,31,7622,738,713,6027,144,86.21485
18,1,1,97.2131,97.2882,99.9819,94.7359,10750.38553,89.058,63.7706,83.22,51.6901,3827.834511,121318,60648,3370,57289,11,7622,734,686,6054,148,86.139
5,1,1,94.9323,95.0654,97.6294,92.6327,17731.47784,89.7271,65.029,82.5397,53.6478,2382.193958,121318,59221,4710,55949,1438,7622,728,629,6111,154,86.1334
1,5,5,88.5285,88.0172,84.2612,92.1236,34838.82789,91.1703,67.9676,80.9524,58.5726,2304.420371,121318,51112,4370,56289,9547,7622,714,505,6235,168,86.06135
8,1,1,96.4902,96.5858,99.2895,94.0254,12512.34367,90.042,65.5782,81.9728,54.6485,2575.06596,121318,60228,3827,56832,431,7622,723,600,6140,159,86.0074
3,5,5,93.0769,93.1829,94.6323,91.7773,23073.52673,89.2417,64.0351,82.7664,52.2175,2279.721998,121318,57403,5143,55516,3256,7622,730,668,6072,152,86.00405
1,2,2,88.2977,88.4264,89.4097,87.4645,35795.96901,86.1454,58.8144,85.4875,44.8276,3069.685513,121318,54235,7773,52886,6424,7622,754,928,5812,128,85.81645
3,2,2,92.912,93.0215,94.4806,91.6067,23211.13267,88.6644,62.8227,82.7664,50.6241,2460.789806,121318,57311,5251,55408,3348,7622,730,712,6028,152,85.7154
5,5,5,93.7231,94.057,99.3422,89.3058,21187.63274,86.4602,59.2095,84.9206,45.449,2877.95621,121318,60260,7216,53443,399,7622,749,899,5841,133,85.6904
0,2,2,86.6071,86.2132,83.7501,88.8256,41926.09503,87.851,61.3845,83.4467,48.5488,3103.583511,121318,50802,6391,54268,9857,7622,736,780,5960,146,85.64885
2,5,5,91.3294,91.4478,92.7134,90.2162,27580.80872,88.179,61.9349,83.1066,49.3603,2365.129061,121318,56239,6099,54560,4420,7622,733,752,5988,149,85.6428
7,1,1,95.2324,95.4138,99.1889,91.9156,16269.34093,87.8116,61.3078,83.4467,48.4529,2917.207817,121318,60167,5292,55367,492,7622,736,783,5957,146,85.62915
4,1,1,94.0347,94.1622,96.2182,92.1921,20403.687,89.7271,64.7138,81.4059,53.7023,2265.379881,121318,58365,4943,55716,2294,7622,718,619,6121,164,85.5665
33,1,1,97.5593,97.6175,100,95.3458,11235.04893,89.609,64.4843,81.5193,53.3383,5081.518501,121318,60659,2961,57698,0,7622,719,629,6111,163,85.56415
