epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
18,1,86.7349,85.9913,81.4273,91.0974,37958.72689,90.8685,67.2625,81.0658,57.4759,2232.243601,121318,49393,4827,0,11266,7622,715,529,0,167,85.96715
9,1,85.8059,85.0146,80.5256,90.0337,40956.24797,90.0945,65.635,81.746,54.8289,2484.744944,121318,48846,5407,0,11813,7622,721,594,0,161,85.92025
10,1,86.0004,85.3224,81.3812,89.6649,40508.8793,89.7665,64.9281,81.8594,53.8003,2538.392773,121318,49365,5690,0,11294,7622,722,620,0,160,85.81295
13,1,86.3112,85.4932,80.6723,90.9268,39345.68581,90.7242,66.8542,80.839,56.9944,2302.871653,121318,48935,4883,0,11724,7622,713,538,0,169,85.7816
19,1,86.7011,85.8521,80.7003,91.7065,37761.44707,91.3671,68.2432,80.1587,59.4118,2142.231932,121318,48952,4427,0,11707,7622,707,483,0,175,85.7629
37,1,88.5285,88.4455,87.8105,89.0898,33084.9968,88.3889,62.3564,83.1066,49.8979,2513.18737,121318,53265,6523,0,7394,7622,733,736,0,149,85.74775
20,1,86.6269,85.6838,80.0392,92.1849,37720.54948,91.7738,69.1589,79.7052,61.0773,2066.801741,121318,48551,4116,0,12108,7622,703,448,0,179,85.7395
23,1,87.2797,86.8193,83.7864,90.0799,36440.37516,89.9108,65.1247,81.4059,54.2706,2318.88987,121318,50824,5597,0,9835,7622,718,605,0,164,85.65835
33,1,88.3265,88.0498,86.0103,90.1882,33877.7745,89.4253,64.1778,81.8594,52.7778,2339.150402,121318,52173,5676,0,8486,7622,722,646,0,160,85.64235
8,1,85.6864,84.8901,80.4168,89.8905,41448.85931,89.9764,65.2411,81.2925,54.4833,2536.281492,121318,48780,5486,0,11879,7622,717,599,0,165,85.63445
45,1,89.4327,89.1481,86.8099,91.6158,30850.41183,90.1732,65.6264,81.0658,55.1272,2174.058077,121318,52658,4819,0,8001,7622,715,582,0,167,85.6195
15,1,86.6566,86.0657,82.4165,90.0531,38612.95824,89.7927,64.86,81.4059,53.9039,2412.228138,121318,49993,5522,0,10666,7622,718,614,0,164,85.5993
28,1,87.8823,87.5397,85.1333,90.0862,35042.89393,89.5434,64.3719,81.6327,53.1365,2350.085464,121318,51641,5683,0,9018,7622,720,635,0,162,85.58805
14,1,86.4497,86.0133,83.3298,88.8754,39122.05846,88.7169,62.8349,82.4263,50.7682,2586.500732,121318,50547,6327,0,10112,7622,727,705,0,155,85.5716
24,1,87.5122,87.2014,85.0838,89.427,36200.28356,89.1498,63.6164,81.9728,51.977,2419.798935,121318,51611,6102,0,9048,7622,723,668,0,159,85.5613
42,1,89.1467,88.8018,86.0664,91.7167,31575.71815,90.4749,66.2011,80.6122,56.1611,2160.378954,121318,52207,4715,0,8452,7622,711,555,0,171,85.54355
36,1,88.6653,88.2866,85.4317,91.3388,33144.55281,90.3569,65.9565,80.7256,55.7557,2173.956696,121318,51822,4914,0,8837,7622,712,565,0,170,85.54125
16,1,86.3244,86.1473,85.0459,87.2775,39267.05275,87.3918,60.5663,83.6735,47.4598,2853.073694,121318,51588,7520,0,9071,7622,738,817,0,144,85.53265
22,3,86.8016,86.2042,82.4709,90.2915,38316.28171,89.8714,64.9728,81.1791,54.1604,2593.411978,121318,50026,5379,0,10633,7622,716,606,0,166,85.52525
43,1,89.3544,89.1974,87.9012,90.5325,31234.97852,89.0711,63.4489,81.9728,51.7538,2321.377018,121318,53320,5576,0,7339,7622,723,674,0,159,85.52195
12,1,86.0342,85.0167,79.243,91.6978,40074.72481,91.3933,68.1553,79.5918,59.5925,2184.429564,121318,48068,4352,0,12591,7622,702,476,0,180,85.49255
41,1,88.9332,88.8333,88.038,89.643,31946.80605,88.5201,62.4302,82.4263,50.2419,2433.073671,121318,53403,6170,0,7256,7622,727,720,0,155,85.4732
