epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn,RECALL,PRECISION,F1,SCORE
5,3,121318,0.8031,0.4383,83.882,78.292,50882,46551,14108,9777,7622,0.7896,0.4415,85.7143,33.8406,756,5262,1478,126,0.857142857,0.338406446,0.485237484,0.823371429
9,3,121318,0.8103,0.4211,85.4696,78.4995,51845,46459,14200,8814,7622,0.7701,0.4868,87.415,31.9652,771,5099,1641,111,0.87414966,0.319651741,0.468123862,0.82212483
7,3,121318,0.8075,0.4292,84.8036,78.4401,51441,46520,14139,9218,7622,0.7732,0.4897,87.0748,32.2283,768,5125,1615,114,0.870748299,0.322282837,0.470444104,0.82197415
8,3,121318,0.8084,0.4279,85.0509,78.4463,51591,46484,14175,9068,7622,0.7865,0.4355,85.7143,33.4958,756,5239,1501,126,0.857142857,0.334957909,0.481682064,0.821821429
6,3,121318,0.8046,0.4348,84.3222,78.2729,51149,46461,14198,9510,7622,0.7906,0.4313,85.2608,33.9044,752,5274,1466,130,0.85260771,0.339044184,0.48516129,0.821603855
8,2,121318,0.8086,0.4255,84.797,78.6138,51437,46666,13993,9222,7622,0.747,0.5349,89.5692,30.0838,790,4904,1836,92,0.89569161,0.300837776,0.450399088,0.821345805
4,2,121318,0.8004,0.4433,83.427,78.1403,50606,46502,14157,10053,7622,0.7772,0.4579,86.5079,32.579,763,5161,1579,119,0.865079365,0.325789923,0.473325062,0.821139683
7,2,121318,0.8071,0.429,84.5448,78.5204,51284,46630,14029,9375,7622,0.768,0.4919,87.415,31.7545,771,5083,1657,111,0.87414966,0.317545305,0.465861027,0.82107483
10,3,121318,0.812,0.4171,86.0103,78.4604,52173,46336,14323,8486,7622,0.7777,0.4739,86.2812,32.605,761,5167,1573,121,0.862811791,0.3260497,0.473258706,0.820255896
4,3,121318,0.8005,0.4429,83.6826,78.0158,50761,46355,14304,9898,7622,0.7776,0.4661,86.2812,32.591,761,5166,1574,121,0.862811791,0.325910064,0.473111595,0.820205896
