Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	38	74.50980392156863	1.2733683613580916E-25	P02671, P14618, P0DMV9, O15144, P62937, P51888, P12277, P35579, P0C0L4, P63261, Q9BVC6, P25705, P02749, P19827, P39023, P00966, P55072, P24752, P35749, Q9BTM1, P10643, O00299, Q09666, P00736, P09382, P01009, P05062, P21695, P01008, P05783, P02675, Q9H2A2, P62249	51	2242	20666	6.868062479228979	2.2029272651494984E-23	2.2029272651494984E-23	1.9609872764914612E-23
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	13	25.49019607843137	5.196794827835906E-15	P02671, P0C0L4, P63261, P0DMV9, P00736, P19827, P01008, O00299, P02675	51	168	20666	31.355975723622777	9.027223413227148E-13	4.4952275260780584E-13	4.001532017433647E-13
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine	10	19.607843137254903	1.2831566853067358E-11	P0C0L4, P19827, P02749, P01009, P01008, P10643	49	126	20502	33.20699708454811	4.131747388669282E-9	4.131764526687689E-9	4.02911199186315E-9
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	10	19.607843137254903	2.639216618678491E-10	P02671, P0C0L4, P00736, P01009, P01008, P10643, P02675	44	88	8865	22.895144628099175	2.903138240917258E-8	2.9031382805463402E-8	2.692000951052061E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0180~Complement pathway	7	13.725490196078432	6.626376178733561E-10	P0C0L4, P00736, P10643	35	35	11434	65.33714285714287	2.98186920710819E-8	2.981869280430103E-8	2.7830779950680956E-8
UP_SEQ_FEATURE	CARBOHYD:O-linked (GalNAc...) threonine	9	17.647058823529413	1.0329189258522424E-9	P02671, P0C0L4, P19827, P02749, P10643	49	138	20502	27.28748890860692	3.3259985399158865E-7	1.6629994706221102E-7	1.6216827135880205E-7
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	7	13.725490196078432	1.8520598902069675E-9	P0C0L4, P00736, P10643	51	46	19416	57.93350383631714	7.908292392055927E-7	7.908295731183751E-7	7.834213335575472E-7
GOTERM_BP_DIRECT	GO:0006956~complement activation	6	11.76470588235294	1.2517809835140593E-8	P0C0L4, P10643	51	30	19416	76.14117647058823	5.345090528185992E-6	2.6725523998025166E-6	2.6475167801322353E-6
UP_SEQ_FEATURE	SITE:Responsible for effective binding to form amide bonds with immune aggregates or protein antigens	4	7.8431372549019605	4.80967976397168E-8	P0C0L4	49	4	20502	418.4081632653061	1.5487049291995625E-5	5.162389613329603E-6	5.0341314862903585E-6
INTERPRO	IPR048847:C4_MG1	4	7.8431372549019605	5.3205503659567527E-8	P0C0L4	51	4	20667	405.235294117647	1.3194878207833938E-5	1.3194964907572746E-5	1.202444382706226E-5
GOTERM_CC_DIRECT	GO:0005576~extracellular region	21	41.17647058823529	9.193800460268456E-8	P02671, P14618, P0DMV9, P62937, P51888, P10643, P0C0L4, P00736, P19827, P02749, P09382, P01009, P01008, P55072, P00387, P02675	51	2248	20666	3.785377852208499	1.5905149048034417E-5	5.301758265421476E-6	4.7194842362711415E-6
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	11	21.568627450980394	1.4183174770192252E-7	P02671, P0C0L4, P00736, P39023, P62081, P10643, P02675, P62249	44	238	8865	9.311974789915967	1.5601371648465978E-5	7.800746123605738E-6	7.233419132798049E-6
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	6	11.76470588235294	1.790553470551219E-7	P02671, P63261, P62937, O00299, P02675, P35579	51	50	19416	45.68470588235294	7.645371732434292E-5	2.5485544397512354E-5	2.524680393477219E-5
INTERPRO	IPR001840:Anaphylatoxn_comp_syst_dom	4	7.8431372549019605	2.6512078036721907E-7	P0C0L4	51	6	20667	270.15686274509807	6.574780075618847E-5	2.1916651177023444E-5	1.997243212099717E-5
INTERPRO	IPR018081:Anaphylatoxin_comp_syst	4	7.8431372549019605	2.6512078036721907E-7	P0C0L4	51	6	20667	270.15686274509807	6.574780075618847E-5	2.1916651177023444E-5	1.997243212099717E-5
GOTERM_CC_DIRECT	GO:0005615~extracellular space	19	37.254901960784316	4.032258524191406E-7	P02671, P0DMV9, P62937, P51888, P10643, O00299, P12277, P0C0L4, P63261, P00736, P02749, P09382, P01009, P01008, P02675	51	1986	20666	3.8766858203502954	6.975565348621426E-5	1.743951811712783E-5	1.552419531813691E-5
SMART	SM00104:ANATO	4	7.8431372549019605	5.543098615466219E-7	P0C0L4	25	8	10680	213.6	2.050926024455002E-5	2.0509464877225012E-5	2.0509464877225012E-5
UP_SEQ_FEATURE	DOMAIN:Anaphylatoxin-like	4	7.8431372549019605	6.689323832787273E-7	P0C0L4	49	8	20502	209.20408163265304	2.1537310333608062E-4	5.384905685393755E-5	5.251119208738009E-5
INTERPRO	IPR000020:Anaphylatoxin/fibulin	4	7.8431372549019605	7.398083536889825E-7	P0C0L4	51	8	20667	202.6176470588235	1.8345570952504886E-4	4.586811792871692E-5	4.179917198342751E-5
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	10	19.607843137254903	8.066794760736033E-7	P63261, P0DMV9, O15144, P62937, P39023, P62081, Q09666, P35579, P62249	51	431	20666	9.401756062053591	1.3954586822417792E-4	2.7911109872146674E-5	2.484572786306698E-5
GOTERM_BP_DIRECT	GO:2000427~positive regulation of apoptotic cell clearance	4	7.8431372549019605	8.917379897342069E-7	P0C0L4	51	8	19416	190.35294117647058	3.8069980684340976E-4	9.519303040412659E-5	9.430129241439239E-5
UP_SEQ_FEATURE	CROSSLNK:Isoglutamyl cysteine thioester (Cys-Gln)	4	7.8431372549019605	1.4287122136339486E-6	P0C0L4	49	10	20502	167.36326530612243	4.599398566511592E-4	9.20090665580263E-5	8.972312701621197E-5
INTERPRO	IPR019742:MacrogloblnA2_CS	4	7.8431372549019605	2.168661220750301E-6	P0C0L4	51	11	20667	147.35828877005346	5.376839620632179E-4	1.0521532915217416E-4	9.588171124351353E-5
GOTERM_MF_DIRECT	GO:0001849~complement component C1q complex binding	4	7.8431372549019605	2.5374369429641416E-6	P0C0L4	50	11	19208	139.69454545454545	4.896060551440318E-4	4.897253299920793E-4	4.592760866765096E-4
SMART	SM01419:Thiol-ester_cl	4	7.8431372549019605	2.8101245456537646E-6	P0C0L4	25	13	10680	131.44615384615386	1.0396934909140398E-4	3.298532310902424E-5	3.298532310902424E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0399~Innate immunity	10	19.607843137254903	3.022700781030805E-6	P02671, P0C0L4, Q9UM07, P00736, P10643, P02675	35	428	11434	7.632843791722297	1.3601249018446726E-4	6.801076757319311E-5	6.347671640164691E-5
SMART	SM01359:A2M_N_2	4	7.8431372549019605	3.571247559770027E-6	P0C0L4	25	14	10680	122.05714285714285	1.3212766602910264E-4	3.298532310902424E-5	3.298532310902424E-5
INTERPRO	IPR002890:MG2	4	7.8431372549019605	3.746207193761809E-6	P0C0L4	51	13	20667	124.68778280542986	9.286296806250149E-4	1.0521532915217416E-4	9.588171124351353E-5
INTERPRO	IPR040839:MG4	4	7.8431372549019605	3.746207193761809E-6	P0C0L4	51	13	20667	124.68778280542986	9.286296806250149E-4	1.0521532915217416E-4	9.588171124351353E-5
INTERPRO	IPR047565:Alpha-macroglob_thiol-ester_cl	4	7.8431372549019605	3.746207193761809E-6	P0C0L4	51	13	20667	124.68778280542986	9.286296806250149E-4	1.0521532915217416E-4	9.588171124351353E-5
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	9	17.647058823529413	4.0974314491410615E-6	P02671, P14618, P19827, P02749, P09382, P01009, P01008, P51888, P02675	51	391	20666	9.32721528509102	7.086059131126143E-4	1.1814260678356726E-4	1.0516740719462058E-4
SMART	SM01361:A2M_recep	4	7.8431372549019605	4.457476095814086E-6	P0C0L4	25	15	10680	113.92	1.6491338341617645E-4	3.298532310902424E-5	3.298532310902424E-5
SMART	SM01360:A2M	4	7.8431372549019605	4.457476095814086E-6	P0C0L4	25	15	10680	113.92	1.6491338341617645E-4	3.298532310902424E-5	3.298532310902424E-5
INTERPRO	IPR041555:MG3	4	7.8431372549019605	4.759772810868365E-6	P0C0L4	51	14	20667	115.78151260504201	0.0011797300371177988	1.0521532915217416E-4	9.588171124351353E-5
INTERPRO	IPR011625:A2M_N_BRD	4	7.8431372549019605	4.759772810868365E-6	P0C0L4	51	14	20667	115.78151260504201	0.0011797300371177988	1.0521532915217416E-4	9.588171124351353E-5
INTERPRO	IPR009048:A-macroglobulin_rcpt-bd	4	7.8431372549019605	5.939575032784025E-6	P0C0L4	51	15	20667	108.06274509803922	0.001471934622725768	1.0521532915217416E-4	9.588171124351353E-5
INTERPRO	IPR001599:Macroglobln_a2	4	7.8431372549019605	5.939575032784025E-6	P0C0L4	51	15	20667	108.06274509803922	0.001471934622725768	1.0521532915217416E-4	9.588171124351353E-5
